rule_id,rule_category,rule_type,rule_name,value_numeric,value_text,effective_from,effective_to,source_document,source_article,supersedes_rule_id,is_current_version,change_summary,notes
CAP_CEILING_2019,Salary Cap,Upper Limit,Salary Cap Ceiling,81500000,,2019-10-02,2020-09-30,CBA_2012,Article 50.5,,FALSE,,"Pre-COVID ceiling"
CAP_CEILING_2020,Salary Cap,Upper Limit,Salary Cap Ceiling,81500000,"Flat cap due to COVID-19 pandemic",2020-10-01,2024-06-30,MOU_2020,Article 50.5 Amendment,CAP_CEILING_2019,FALSE,"Flat cap extended through 2023-24 season","COVID-19 pandemic impact; MOU established flat cap to protect revenues"
CAP_CEILING_2024,Salary Cap,Upper Limit,Salary Cap Ceiling 2024-25,88000000,,2024-07-01,2025-06-30,MOU_2020,Article 50.5,CAP_CEILING_2020,FALSE,Increased to $88M for 2024-25 season,Cap resumed growth
CAP_CEILING_2025,Salary Cap,Upper Limit,Salary Cap Ceiling 2025-26,95500000,,2025-07-01,2026-06-30,MOU_2025,Article 50.5 Amendment,CAP_CEILING_2024,FALSE,Increased to $95.5M for 2025-26 season,Extended CBA through 2031-32
CAP_CEILING_2026,Salary Cap,Upper Limit,Salary Cap Ceiling 2026-27,104000000,,2026-07-01,2027-06-30,MOU_2025,Article 50.5 Amendment,CAP_CEILING_2025,FALSE,Increased to $104M for 2026-27 season,Continued cap growth
CAP_CEILING_2027,Salary Cap,Upper Limit,Salary Cap Ceiling 2027-28,113500000,,2027-07-01,2028-06-30,MOU_2025,Article 50.5 Amendment,CAP_CEILING_2026,TRUE,Increased to $113.5M for 2027-28 season,Projected cap growth
CAP_FLOOR_2019,Salary Cap,Lower Limit,Salary Cap Floor 2019-20,60200000,,2019-10-02,2020-09-30,CBA_2012,Article 50.5,,FALSE,Minimum team salary 2019-20 season,Pre-COVID floor
CAP_FLOOR_2020,Salary Cap,Lower Limit,Salary Cap Floor 2020-24,60200000,"Flat floor due to COVID-19 pandemic",2020-10-01,2024-06-30,MOU_2020,Article 50.5 Amendment,CAP_FLOOR_2019,FALSE,Flat floor through 2023-24 season,COVID-19 pandemic impact
CAP_FLOOR_2024,Salary Cap,Lower Limit,Salary Cap Floor 2024-25,65000000,,2024-07-01,2025-06-30,MOU_2020,Article 50.5,CAP_FLOOR_2020,FALSE,Increased to $65M for 2024-25 season,Floor resumed growth
CAP_FLOOR_2025,Salary Cap,Lower Limit,Salary Cap Floor 2025-26,70600000,,2025-07-01,2026-06-30,MOU_2025,Article 50.5 Amendment,CAP_FLOOR_2024,FALSE,Increased to $70.6M for 2025-26 season,Continued floor growth
