nhl_player_id,full_name,team_abbrev,position,age,cap_hit,contract_years_total,years_remaining,contract_start_date,contract_end_date,signing_date,contract_type,no_trade_clause,no_movement_clause,signing_age,signing_team,contract_status,roster_status,retained_percentage,season,sync_date,data_source,cap_hit_percentage,base_salary,signing_bonus,performance_bonus,clause_details,arbitration_eligible,ufa_year,draft_year,draft_round,draft_overall,must_sign_by
8480018,Nick Suzuki,MTL,C,25,7875000,8,6,2022-10-01,2030-06-30,2022-07-01,UFA,false,true,23,MTL,active,roster,0.0,2025-2026,2025-10-09,capwages,8.24,7875000,0,0,Modified NTC Year 6-8,false,2030,2017,1,13,
8479318,Cole Caufield,MTL,RW,23,7850000,8,7,2023-10-01,2031-06-30,2023-07-05,UFA,false,false,22,MTL,active,roster,0.0,2025-2026,2025-10-09,capwages,8.22,7850000,0,0,None,false,2031,2019,1,15,
8481522,Juraj Slafkovsky,MTL,LW,20,925000,3,2,2023-10-01,2026-06-30,2023-09-15,ELC,false,false,19,MTL,active,roster,0.0,2025-2026,2025-10-09,capwages,0.97,832500,92500,2500000,Schedule A Bonuses,false,2026,2022,1,1,
8480800,Kirby Dach,MTL,C,23,3362500,4,2,2023-10-01,2027-06-30,2023-08-20,RFA,false,false,22,MTL,active,roster,0.0,2025-2026,2025-10-09,capwages,3.52,3362500,0,0,None,false,2027,2019,1,3,
8477493,Josh Anderson,MTL,RW,30,5500000,3,1,2020-10-01,2027-06-30,2020-10-10,UFA,false,true,26,MTL,active,roster,0.0,2025-2026,2025-10-09,capwages,5.76,5500000,0,0,Full NMC,false,2027,2012,4,95,
8475168,Brendan Gallagher,MTL,RW,32,6500000,2,0,2020-10-01,2027-06-30,2020-09-15,UFA,false,true,28,MTL,active,roster,0.0,2025-2026,2025-10-09,capwages,6.81,6500000,0,0,Full NMC,false,2027,2010,5,147,
8476468,Mike Matheson,MTL,D,30,4875000,3,1,2022-10-01,2026-06-30,2022-08-01,UFA,false,false,29,MTL,active,roster,0.0,2025-2026,2025-10-09,capwages,5.10,4875000,0,0,Modified NTC,false,2026,2012,1,23,
8479385,Kaiden Guhle,MTL,D,22,1950000,2,0,2023-10-01,2027-06-30,2023-08-15,RFA,false,false,21,MTL,active,roster,0.0,2025-2026,2025-10-09,capwages,2.04,1950000,0,0,None,true,2027,2020,1,16,
8484100,Alexander Zharovsky,MTL,RW,18,0,0,0,,,,,false,false,,,unsigned,reserve_list,0.0,2025-2026,2025-10-09,capwages,0.00,0,0,0,None,false,,2025,2,34,
8484101,Hayden Paupanekis,MTL,C,18,0,0,0,,,,,false,false,,,unsigned,reserve_list,0.0,2025-2026,2025-10-09,capwages,0.00,0,0,0,None,false,,2025,3,69,2027-06-01
8484102,Bryce Pickford,MTL,D,19,0,0,0,,,,,false,false,,,unsigned,reserve_list,0.0,2025-2026,2025-10-09,capwages,0.00,0,0,0,None,false,,2025,3,81,2027-06-01
8484103,Michael Hage,MTL,C,19,0,0,0,,,,,false,false,,,unsigned,reserve_list,0.0,2025-2026,2025-10-09,capwages,0.00,0,0,0,None,false,,2024,1,21,2028-08-15

