player_contracts_filled_with_alldata_updated
player_contracts_filled_with_alldata_updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
player_contracts_filled_with_alldata_updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhl_player_id,full_name,team_abbrev,position,age,cap_hit,contract_years_total,years_remaining,contract_start_date,contract_end_date,signing_date,contract_type,no_trade_clause,no_movement_clause,signing_age,signing_team,contract_status,roster_status,retained_percentage,sync_date,data_source,cap_hit_percentage,base_salary,signing_bonus,performance_bonus,clause_details,arbitration_eligible,ufa_year,draft_year,draft_round,draft_overall,must_sign_by,base_2025_26,sb_2025_26,pb_potential_2025_26,cap_hit_2025_26,base_2026_27,sb_2026_27,pb_potential_2026_27,cap_hit_2026_27,base_2027_28,sb_2027_28,pb_potential_2027_28,cap_hit_2027_28,base_2028_29,sb_2028_29,pb_potential_2028_29,cap_hit_2028_29,base_2029_30,sb_2029_30,pb_potential_2029_30,cap_hit_2029_30,base_2030_31,sb_2030_31,pb_potential_2030_31,cap_hit_2030_31
8480018.0,Nick Suzuki,MTL,C,25,7875000,8,6,2022-10-01,2030-06-30,2022-07-01,UFA,False,True,23.0,MTL,active,NHL,0.0,2025-10-09,capwages,8.24,7875000,0,0,Modified NTC Year 6-8,False,2030.0,2017.0,1.0,13.0,,8750000.0,0.0,0.0,7875000.0,6250000.0,0.0,0.0,7875000.0,6000000.0,0.0,0.0,7875000.0,3000000.0,3000000.0,0.0,7875000.0,3000000.0,3000000.0,0.0,7875000.0,,,,
8479318.0,Cole Caufield,MTL,RW,23,7850000,8,7,2023-10-01,2031-06-30,2023-07-05,UFA,False,False,22.0,MTL,active,NHL,0.0,2025-10-09,capwages,8.22,7850000,0,0,,False,2031.0,2019.0,1.0,15.0,,9975000.0,0.0,0.0,7850000.0,8705000.0,0.0,0.0,7850000.0,6215000.0,0.0,0.0,7850000.0,5985000.0,0.0,0.0,7850000.0,5985000.0,0.0,0.0,7850000.0,5985000.0,0.0,0.0,7850000.0
8481522.0,Juraj Slafkovsky,MTL,LW,20,925000,3,2,2023-10-01,2026-06-30,2023-09-15,ELC,False,False,19.0,MTL,active,NHL,0.0,2025-10-09,capwages,0.97,832500,92500,2500000,Schedule A Bonuses,False,2026.0,2022.0,1.0,1.0,,3000000.0,7000000.0,0.0,7600000.0,7000000.0,3000000.0,0.0,7600000.0,9000000.0,0.0,0.0,7600000.0,7800000.0,0.0,0.0,7600000.0,6000000.0,0.0,0.0,7600000.0,6000000.0,0.0,0.0,7600000.0
8480800.0,Kirby Dach,MTL,C,23,3362500,4,2,2023-10-01,2027-06-30,2023-08-20,RFA,False,False,22.0,MTL,active,NHL,0.0,2025-10-09,capwages,3.52,3362500,0,0,,False,2027.0,2019.0,1.0,3.0,,4000000.0,0.0,0.0,3362500.0,,,,,,,,,,,,,,,,,,,,
8475847.0,Brendan Gallagher,MTL,RW,32,6500000,2,0,2020-10-01,2027-06-30,2020-09-15,UFA,False,True,28.0,MTL,active,NHL,0.0,2025-10-09,capwages,6.81,6500000,0,0,Full NMC,False,2027.0,2010.0,5.0,147.0,,6500000.0,0.0,0.0,6500000.0,4000000.0,0.0,0.0,6500000.0,,,,,,,,,,,,,,,,
8476468.0,Mike Matheson,MTL,D,30,4875000,3,1,2022-10-01,2026-06-30,2022-08-01,UFA,False,False,29.0,MTL,active,NHL,0.0,2025-10-09,capwages,5.1,4875000,0,0,Modified NTC,False,2026.0,2012.0,1.0,23.0,,4500000.0,2000000.0,0.0,4875000.0,,,,,,,,,,,,,,,,,,,,
8479385.0,Kaiden Guhle,MTL,D,22,1950000,2,0,2023-10-01,2027-06-30,2023-08-15,RFA,False,False,21.0,MTL,active,NHL,0.0,2025-10-09,capwages,2.04,1950000,0,0,,True,2027.0,2020.0,1.0,16.0,,2000000.0,5000000.0,0.0,5550000.0,5250000.0,0.0,0.0,5550000.0,6550000.0,0.0,0.0,5550000.0,5000000.0,0.0,0.0,5550000.0,5000000.0,0.0,0.0,5550000.0,4500000.0,0.0,0.0,5550000.0
,Alexander Zharovsky,MTL,RW,18,0,0,0,,,,,False,False,,,unsigned,Unsigned,0.0,2025-10-09,capwages,0.0,0,0,0,,False,,2025.0,2.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Hayden Paupanekis,MTL,C,18,0,0,0,,,,,False,False,,,unsigned,Unsigned,0.0,2025-10-09,capwages,0.0,0,0,0,,False,,2025.0,3.0,69.0,2027-06-01,,,,,,,,,,,,,,,,,,,,,,,,
,Bryce Pickford,MTL,D,19,0,0,0,,,,,False,False,,,unsigned,Unsigned,0.0,2025-10-09,capwages,0.0,0,0,0,,False,,2025.0,3.0,81.0,2027-06-01,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Hage,MTL,C,19,0,0,0,,,,,False,False,,,unsigned,Unsigned,0.0,2025-10-09,capwages,0.0,0,0,0,,False,,2024.0,1.0,21.0,2028-08-15,,,,,,,,,,,,,,,,,,,,,,,,
8479339.0,Patrik Laine,MTL,LW/RW,27,8700000,4,2,2022-10-01,2026-06-30,2022-07-22,UFA,False,True,24.0,CBJ,active,NHL,0.0,2025-10-09,capwages,9.1,8700000,0,0,Modified NTC,False,2026.0,2016.0,1.0,2.0,,7100000.0,2000000.0,0.0,8700000.0,,,,,,,,,,,,,,,,,,,,
8476981.0,Josh Anderson,MTL,RW/LW,31,5500000,7,3,2020-10-01,2027-06-30,2020-10-08,UFA,False,True,26.0,MTL,active,NHL,0.0,2025-10-09,capwages,5.75,5500000,0,0,M-NTC,False,2027.0,2012.0,4.0,95.0,,5000000.0,0.0,0.0,5500000.0,3500000.0,0.0,0.0,5500000.0,,,,,,,,,,,,,,,,
8482964.0,Arber Xhekaj,MTL,LD/RD,24,1300000,2,2,2024-10-01,2026-06-30,2024-07-30,RFA,False,False,23.0,MTL,active,NHL,0.0,2025-10-09,capwages,1.36,1300000,0,0,,False,2026.0,,,,,1300000.0,0.0,0.0,1300000.0,,,,,,,,,,,,,,,,,,,,
