Player,Player ID,Date of Birth,Team,TOI (sec),TOI (min),Total Games played,Total TOI/GP (sec),Total TOI/GP (min),G,A,PTS,+/-,S,Sh%,Position,Expected Goals For WOI,Actual to Expected Goals For WOI,Expected Goals Against WOI,Actual to Expected Goals Against WOI,Shot Attempts For WOI,Corsi Ratio,Shot Attempts Against WOI,Shots On Net For WOI,Shots On Net Ratio,Shots On Net Against WOI,Inner Slot Shots On Net For WOI,Inner Slot Shots On Net Against WOI,Inner Slot Shots On Net Corsi Ratio,Successful Pass to Slot For WOI,Successful Pass to Slot Against WOI,DZ Rebound Recovery Rate WOI,Successful OZ Rebound LPRs Against WOI
Nikita Kucherov,8476453,1993-06-17,TBL,105310.46333333336,1755:10,81,1300.1291769547329,21:40,44,100,144,8,312,0.14102564102564102,F,135.91794531500295,20.08205468499699,73.49020613229163,14.509793867708416,2218.0,0.6155981126838745,1385.0,1186.0,0.6020304568527919,784.0,282.0,166.0,0.6294642857142857,776.0,298.0,0.5370786516853933,206.0
Nathan MacKinnon,8477492,1995-09-01,COL,112359.31333333338,1872:39,82,1370.235528455285,22:50,51,89,140,35,420,0.12142857142857143,F,160.7049110426237,13.295088957376317,70.28365922680217,5.7163407731978015,2519.0,0.6310120240480962,1473.0,1376.0,0.6237533998186764,830.0,315.0,179.0,0.6376518218623481,822.0,311.0,0.6030042918454935,184.0
Connor McDavid,8478402,1997-01-13,EDM,97399.18333333332,1623:19,76,1281.568201754386,21:22,32,100,132,35,278,0.11510791366906475,F,150.0760422082258,8.923957791774248,60.87901228176204,8.120987718237965,2139.0,0.6433082706766917,1186.0,1240.0,0.640495867768595,696.0,356.0,145.0,0.7105788423153693,716.0,277.0,0.4961240310077519,195.0
Artemi Panarin,8478550,1991-10-30,NYR,98811.57,1646:52,82,1205.0191463414635,20:05,49,71,120,18,315,0.15555555555555556,F,137.09918925643402,3.900810743565924,66.12764995005756,-6.127649950057518,2293.0,0.6514204545454545,1227.0,1174.0,0.6169206516027326,729.0,254.0,152.0,0.625615763546798,705.0,275.0,0.5540229885057472,194.0
David Pastrnak,8477956,1996-05-25,BOS,97996.71333333336,1633:17,82,1195.0818699186996,19:55,47,63,110,20,401,0.1172069825436409,F,130.52376323607618,-3.5237632360761895,70.33523169811147,-11.335231698111464,1923.0,0.5895156345800122,1339.0,1095.0,0.5918918918918918,755.0,291.0,175.0,0.6244635193133047,644.0,266.0,0.5323741007194245,195.0
Auston Matthews,8479318,1997-09-17,TOR,101912.26666666666,1698:32,81,1258.1761316872426,20:58,69,38,107,30,377,0.1830238726790451,F,140.09579621840183,7.904203781598038,68.10390517580443,-2.1039051758044063,2172.0,0.6031657872813108,1429.0,1176.0,0.6238726790450928,709.0,337.0,152.0,0.689161554192229,809.0,291.0,0.5155131264916468,203.0
Leon Draisaitl,8477934,1995-10-27,EDM,100664.35333333332,1677:44,81,1242.7697942386828,20:43,41,65,106,27,226,0.18141592920353983,F,143.34976224139555,1.6502377586045365,70.61202730360357,-10.612027303603565,2037.0,0.6078782452999105,1314.0,1160.0,0.5948717948717949,790.0,324.0,176.0,0.648,716.0,342.0,0.4910714285714285,228.0
Mikko Rantanen,8478420,1996-10-29,COL,110043.31,1834:03,80,1375.5413750000002,22:56,42,62,104,18,262,0.16030534351145037,F,149.680894915189,4.319105084811088,73.24441350465057,2.755586495349425,2378.0,0.6120978120978121,1507.0,1293.0,0.6067573908962928,838.0,289.0,182.0,0.613588110403397,782.0,319.0,0.5995850622406639,192.0
J.T. Miller,8476468,1993-03-14,VAN,94734.18,1578:54,81,1169.5577777777776,19:30,37,66,103,31,187,0.19786096256684493,F,106.48275502796584,19.51724497203408,74.08085976028511,-9.080859760285035,1766.0,0.5698612455630848,1333.0,906.0,0.5467712733856367,751.0,222.0,186.0,0.5441176470588235,538.0,338.0,0.5227272727272727,210.0
William Nylander,8477939,1996-05-01,TOR,98022.36000000004,1633:42,82,1195.3946341463418,19:55,40,58,98,-2,330,0.12121212121212122,F,134.5888337360846,-8.58883373608475,84.13370999892246,-1.1337099989224817,2024.0,0.571589946342841,1517.0,1129.0,0.5783811475409836,823.0,319.0,184.0,0.6341948310139165,724.0,295.0,0.4761904761904761,252.0
